FileName,Number_of_rows,Number_of_Distinct_LoanSeqNumbers,LoanSeqNumber_UniqueRate
historical_data_1999Q1.txt,487558,487558,1.0
historical_data_1999Q2.txt,339819,339819,1.0
historical_data_1999Q3.txt,223174,223174,1.0
historical_data_1999Q4.txt,172397,172397,1.0
historical_data_2000Q1.txt,117807,117807,1.0
historical_data_2000Q2.txt,184092,184092,1.0
historical_data_2000Q3.txt,209939,209939,1.0
historical_data_2000Q4.txt,236235,236235,1.0
historical_data_2001Q1.txt,405267,405267,1.0
historical_data_2001Q2.txt,629729,629729,1.0
historical_data_2001Q3.txt,543927,543927,1.0
historical_data_2001Q4.txt,921725,921725,1.0
historical_data_2002Q1.txt,643979,643979,1.0
historical_data_2002Q2.txt,475646,475646,1.0
historical_data_2002Q3.txt,794573,794573,1.0
historical_data_2002Q4.txt,1078514,1078514,1.0
historical_data_2003Q1.txt,922475,922475,1.0
historical_data_2003Q2.txt,1216828,1216828,1.0
historical_data_2003Q3.txt,1287093,1287093,1.0
historical_data_2003Q4.txt,478051,478051,1.0
historical_data_2004Q1.txt,494534,494534,1.0
historical_data_2004Q2.txt,525070,525070,1.0
historical_data_2004Q3.txt,313544,313544,1.0
historical_data_2004Q4.txt,344089,344089,1.0
historical_data_2005Q1.txt,338408,338408,1.0
historical_data_2005Q2.txt,387872,387872,1.0
historical_data_2005Q3.txt,508366,508366,1.0
historical_data_2005Q4.txt,376925,376925,1.0
historical_data_2006Q1.txt,298590,298590,1.0
historical_data_2006Q2.txt,308226,308226,1.0
historical_data_2006Q3.txt,283986,283986,1.0
historical_data_2006Q4.txt,302798,302798,1.0
historical_data_2007Q1.txt,302364,302364,1.0
historical_data_2007Q2.txt,354089,354089,1.0
historical_data_2007Q3.txt,285003,285003,1.0
historical_data_2007Q4.txt,296885,296885,1.0
historical_data_2008Q1.txt,421671,421671,1.0
historical_data_2008Q2.txt,371010,371010,1.0
historical_data_2008Q3.txt,221748,221748,1.0
historical_data_2008Q4.txt,218774,218774,1.0
historical_data_2009Q1.txt,621538,621538,1.0
historical_data_2009Q2.txt,716696,716696,1.0
historical_data_2009Q3.txt,443064,443064,1.0
historical_data_2009Q4.txt,445755,445755,1.0
historical_data_2010Q1.txt,360857,360857,1.0
historical_data_2010Q2.txt,363848,363848,1.0
historical_data_2010Q3.txt,503417,503417,1.0
historical_data_2010Q4.txt,592087,592087,1.0
historical_data_2011Q1.txt,332611,332611,1.0
historical_data_2011Q2.txt,266592,266592,1.0
historical_data_2011Q3.txt,356382,356382,1.0
historical_data_2011Q4.txt,427401,427401,1.0
historical_data_2012Q1.txt,414772,414772,1.0
historical_data_2012Q2.txt,462368,462368,1.0
historical_data_2012Q3.txt,563442,563442,1.0
historical_data_2012Q4.txt,592703,592703,1.0
historical_data_2013Q1.txt,610554,610554,1.0
historical_data_2013Q2.txt,578787,578787,1.0
historical_data_2013Q3.txt,375867,375867,1.0
historical_data_2013Q4.txt,289667,289667,1.0
historical_data_2014Q1.txt,221793,221793,1.0
historical_data_2014Q2.txt,290832,290832,1.0
historical_data_2014Q3.txt,326251,326251,1.0
historical_data_2014Q4.txt,303512,303512,1.0
historical_data_2015Q1.txt,365234,365234,1.0
historical_data_2015Q2.txt,411691,411691,1.0
historical_data_2015Q3.txt,365220,365220,1.0
historical_data_2015Q4.txt,332106,332106,1.0
historical_data_2016Q1.txt,308491,308491,1.0
historical_data_2016Q2.txt,431524,431524,1.0
historical_data_2016Q3.txt,477413,477413,1.0
historical_data_2016Q4.txt,471626,471626,1.0
historical_data_2017Q1.txt,290881,290881,1.0
historical_data_2017Q2.txt,337395,337395,1.0
historical_data_2017Q3.txt,391839,391839,1.0
historical_data_2017Q4.txt,360146,360146,1.0
historical_data_2018Q1.txt,296904,296904,1.0
historical_data_2018Q2.txt,364793,364793,1.0
historical_data_2018Q3.txt,337348,337348,1.0
historical_data_2018Q4.txt,289248,289248,1.0
historical_data_2019Q1.txt,281060,281060,1.0
historical_data_2019Q2.txt,414874,414874,1.0
historical_data_2019Q3.txt,543052,543052,1.0
historical_data_2019Q4.txt,545714,545714,1.0
historical_data_2020Q1.txt,517786,517786,1.0
historical_data_2020Q2.txt,926683,926683,1.0
historical_data_2020Q3.txt,1187973,1187973,1.0
historical_data_2020Q4.txt,1282783,1282783,1.0
historical_data_2021Q1.txt,1219685,1219685,1.0
historical_data_2021Q2.txt,967320,967320,1.0
historical_data_2021Q3.txt,1045338,1045338,1.0
historical_data_2021Q4.txt,864163,864163,1.0
historical_data_2022Q1.txt,583654,583654,1.0
historical_data_2022Q2.txt,436782,436782,1.0
