count,mean_cltv,mean_dti,mean_upb,mean_ltv,mean_creditscore,mean_interestrate,mean_NumberOfUnits
1222948,70.52459196031595,31.138273630791637,114772.63546773861,70.43640926713546,777.5476209945149,7.16978022532438,1.0376606364293495
748073,73.2869226008013,33.49839125498506,124854.06638122215,72.77305115289185,845.6393734301331,8.107628611111483,1.0336959093564397
2500648,70.73309546204938,31.790530973306467,136989.05043812643,70.20330118581627,768.3538978696722,6.799028411035859,1.0298042747319895
2992712,68.57444568831559,31.692824305430396,143397.3536377707,67.8198595310752,823.6895985981945,6.275437655878682,1.0291822266893706
3904447,66.74304727301045,30.216017743488628,144664.41316785707,65.75170063322267,740.0529614052899,5.455928472585234,1.0234601724648842
1677237,70.23961409115844,33.34105578509636,154483.36877853278,68.82270894835791,731.9582384600387,5.630211795351521,1.0418014866116119
1611571,70.56259599256074,35.215199813837444,170426.59057528336,68.9028019276905,732.0020998144047,5.799746258774823,1.0295903810629503
1193600,72.56234420755847,36.47998636932619,178946.51893431635,69.99082277473444,731.0144989946381,6.402240745845129,1.0284643096514745
1238341,74.07107247125903,36.632002758559096,182848.69514939745,71.43241715331915,733.0455835670466,6.364408384281874,1.0346415082759919
1233203,71.16996812210749,36.219851864625426,204147.60181413766,69.86425580812606,747.4619061095375,6.014319383751094,1.0364424997344315
2227053,68.0450582896494,31.60448060271744,213818.86555910434,66.2392093874131,761.5737568885877,4.959442868669942,1.0146714065628433
1820209,70.34832236003551,31.48333557523711,205416.66424020537,67.98977847221535,761.2516408829975,4.650015302088936,1.019647743748108
1382986,71.54916837917456,31.65213706690549,205629.5819335843,69.18036984332203,760.5384363977654,4.378428036147871,1.0256531881016873
2033285,79.10280554015857,30.837419953415157,206957.59718878564,76.50546372028742,759.5811354532198,3.7331898386109175,1.1240893431073362
1854875,77.39784088844465,31.98589849247311,201507.9646876474,75.11055401004938,751.5290410405014,3.820131609946762,1.0312667969539726
1142388,76.59157254880677,33.74391436610994,210330.35973767232,75.40848049175263,748.0561017797806,4.2977571867001405,1.031543573636978
1474251,74.38844978782058,33.75958122212053,223805.42662002603,73.51292848784955,750.151377207816,3.970115471517401,1.0304473254554347
1689054,73.80501391933063,34.10774486450409,235836.88798581928,73.17564571276328,749.5878479906504,3.771986098135406,1.0308912562890233
1380261,75.5071737991684,35.137791317890404,230440.09140300276,75.04116400468037,745.9762030514519,4.185510641827887,1.036056948649567
1288293,76.3849910848811,35.88846001226507,232744.5976963315,76.12198792959578,749.1038808718203,4.740372300400607,1.0340434978688855
1784700,75.84473249361639,35.1901787276226,257869.52372947833,75.66487532918698,754.2232095029977,4.153363844343587,1.0290973272818962
3915225,70.51934635401236,33.130044453616925,289419.96871188754,70.29308200678122,760.4389563818171,3.0953044670485093,1.0220549266006425
4096506,69.42396799222752,33.982253199631366,288848.47550571145,69.23590616003004,753.3161689498319,2.959874602405074,1.0261183554961228
1020436,71.75371311870612,36.16342513136525,295813.95403533394,71.634024083823,745.1822348486334,4.118567821009843,1.0361806129928774
